taskID,employeeID,taskName,taskDate,tasksCompeleted
1,1,API Integration,2024-06-01,5
2,2,Content Calendar Creation,2024-06-01,3
3,3,Policy Review,2024-06-01,0
4,4,CI/CD Setup,2024-06-01,4
5,5,Invoice Auditing,2024-06-01,6
6,1,Backend Refactor,2024-06-02,4
7,2,Email Campaign Design,2024-06-02,2
8,3,Employee Feedback Analysis,2024-06-02,0
9,4,Docker Setup,2024-06-02,5
10,5,Expense Sheet Validation,2024-06-02,3
11,1,API Docs Writing,2024-06-03,5
12,2,Marketing Funnel Draft,2024-06-03,3
13,3,HR Audit,2024-06-03,1
14,4,Kubernetes Monitoring,2024-06-03,3
15,5,Payroll Reconciliation,2024-06-03,2
16,1,New Feature Planning,2024-06-04,5
17,2,Ad Copy Testing,2024-06-04,2
18,3,Training Session Review,2024-06-04,0
19,4,CI Pipeline Refactor,2024-06-04,4
20,5,Budgeting Review,2024-06-04,3
21,1,Bug Triage,2024-06-05,4
22,2,Social Media Content,2024-06-05,3
23,3,Leave Management,2024-06-05,1
24,4,Server Load Analysis,2024-06-05,4
25,5,Payment Verification,2024-06-05,2
26,1,Deployment Planning,2024-06-06,3
27,2,Newsletter Layout,2024-06-06,2
28,3,New Hire Orientation,2024-06-06,1
29,4,Backup Strategy Review,2024-06-06,4
30,5,Account Cleanup,2024-06-06,2
